time	I(C1)	I(C2)	I(L1)
5.824542984394822e+001	9.674464e-002	7.092441e-003	1.247785e+000
5.844542984394823e+001	8.717567e-002	1.551405e-002	1.256332e+000
5.860257270109108e+001	7.953608e-002	2.226121e-002	1.263244e+000
5.875971555823394e+001	7.189609e-002	2.901636e-002	1.270222e+000
5.891685841537680e+001	6.425569e-002	3.577952e-002	1.277268e+000
5.907400127251967e+001	5.661488e-002	4.255067e-002	1.284382e+000
5.923114412966253e+001	4.897367e-002	4.932982e-002	1.291562e+000
5.938828698680538e+001	4.133205e-002	5.611697e-002	1.298810e+000
5.954542984394824e+001	3.369002e-002	6.291211e-002	1.306125e+000
5.984542984394825e+001	1.937494e-002	7.563049e-002	1.319998e+000
6.004542984394825e+001	1.001672e-002	8.393893e-002	1.329193e+000
6.014542984394825e+001	5.406051e-003	8.802907e-002	1.333761e+000
6.024542984394825e+001	8.465773e-004	9.207090e-002	1.338303e+000
6.034542984394825e+001	-3.657608e-003	9.606031e-002	1.342815e+000
6.044542984394825e+001	-8.102491e-003	9.999327e-002	1.347292e+000
6.054542984394826e+001	-1.248414e-002	1.038658e-001	1.351731e+000
6.074542984394826e+001	-2.104242e-002	1.114144e-001	1.360476e+000
6.094542984394826e+001	-2.930272e-002	1.186761e-001	1.369016e+000
6.114542984394826e+001	-3.723682e-002	1.256226e-001	1.377320e+000
6.144542984394827e+001	-4.846855e-002	1.353935e-001	1.389267e+000
6.174542984394827e+001	-5.882408e-002	1.443123e-001	1.400518e+000
6.204542984394828e+001	-6.822984e-002	1.523050e-001	1.410984e+000
6.234542984394828e+001	-7.662184e-002	1.593074e-001	1.420584e+000
6.264542984394829e+001	-8.394612e-002	1.652650e-001	1.429248e+000
6.294542984394829e+001	-9.015910e-002	1.701339e-001	1.436913e+000
6.324542984394829e+001	-9.522770e-002	1.738806e-001	1.443528e+000
6.354542984394830e+001	-9.912959e-002	1.764825e-001	1.449051e+000
6.384542984394830e+001	-1.018531e-001	1.779275e-001	1.453451e+000
6.414542984394829e+001	-1.033972e-001	1.782142e-001	1.456707e+000
6.447400127251970e+001	-1.035955e-001	1.770602e-001	1.458856e+000
6.480257270109111e+001	-1.025566e-001	1.746925e-001	1.459702e+000
6.513114412966252e+001	-1.002808e-001	1.711112e-001	1.459246e+000
6.545971555823394e+001	-9.676782e-002	1.663162e-001	1.457488e+000
6.578828698680535e+001	-9.201783e-002	1.603075e-001	1.454428e+000
6.611685841537675e+001	-8.603080e-002	1.530852e-001	1.450066e+000
6.644542984394816e+001	-7.880671e-002	1.446493e-001	1.444401e+000
6.665971555823387e+001	-7.361305e-002	1.386767e-001	1.440125e+000
6.687400127251956e+001	-6.812456e-002	1.324182e-001	1.435481e+000
6.708828698680527e+001	-6.234123e-002	1.258739e-001	1.430469e+000
6.730257270109097e+001	-5.626306e-002	1.190436e-001	1.425090e+000
6.751685841537667e+001	-4.989006e-002	1.119275e-001	1.419344e+000
6.773114412966237e+001	-4.322223e-002	1.045255e-001	1.413230e+000
6.794542984394808e+001	-3.625955e-002	9.683762e-002	1.406748e+000
6.807400127251950e+001	-3.202567e-002	9.217263e-002	1.402759e+000
6.820257270109092e+001	-2.775521e-002	8.747408e-002	1.398702e+000
6.833114412966233e+001	-2.344815e-002	8.274194e-002	1.394578e+000
6.845971555823377e+001	-1.910451e-002	7.797624e-002	1.390385e+000
6.858828698680519e+001	-1.472428e-002	7.317696e-002	1.386126e+000
6.871685841537661e+001	-1.030746e-002	6.834411e-002	1.381798e+000
6.884542984394803e+001	-5.854048e-003	6.347768e-002	1.377403e+000
6.891685841537660e+001	-3.382689e-003	6.077812e-002	1.374950e+000
6.898828698680516e+001	-9.128795e-004	5.808100e-002	1.372488e+000
6.905971555823373e+001	1.555381e-003	5.538632e-002	1.370019e+000
6.913114412966229e+001	4.022094e-003	5.269409e-002	1.367541e+000
6.920257270109086e+001	6.487257e-003	5.000431e-002	1.365055e+000
